nodenumber,    x-coordinate,    y-coordinate,  total-pressure
        97, 3.420000000E-05,-2.550000000E-05, 2.676510941E-04
        98, 3.440000000E-05,-2.550000000E-05, 2.678457241E-04
        99, 3.460000000E-05,-2.550000000E-05, 2.680370602E-04
       100, 3.480000000E-05,-2.550000000E-05, 2.682233532E-04
       101, 3.500000000E-05,-2.550000000E-05, 2.683965572E-04
       102, 3.520000000E-05,-2.550000000E-05, 2.685549305E-04
       103, 3.540000000E-05,-2.550000000E-05, 2.686417668E-04
       104, 3.560000000E-05,-2.550000000E-05, 2.688670409E-04
       105, 3.580000000E-05,-2.550000000E-05, 2.687001727E-04
       106, 3.600000000E-05,-2.550000000E-05, 2.683184136E-04
       107, 1.500000000E-05,-2.530000000E-05, 2.471739625E-04
       108, 1.520000000E-05,-2.530000000E-05, 2.467314648E-04
       109, 1.540000000E-05,-2.530000000E-05, 2.465296943E-04
       110, 1.560000000E-05,-2.530000000E-05, 2.467615080E-04
       111, 1.580000000E-05,-2.530000000E-05, 2.468397109E-04
       112, 1.600000000E-05,-2.530000000E-05, 2.470200599E-04
       113, 1.620000000E-05,-2.530000000E-05, 2.472252889E-04
       114, 1.640000000E-05,-2.530000000E-05, 2.474616012E-04
       115, 1.660000000E-05,-2.530000000E-05, 2.477189446E-04
       116, 1.680000000E-05,-2.530000000E-05, 2.479919921E-04
       117, 1.700000000E-05,-2.530000000E-05, 2.482791822E-04
       118, 1.720000000E-05,-2.530000000E-05, 2.485803516E-04
       119, 1.740000000E-05,-2.530000000E-05, 2.488931907E-04
       120, 1.760000000E-05,-2.530000000E-05, 2.492131585E-04
       121, 1.780000000E-05,-2.530000000E-05, 2.495367535E-04
       122, 1.800000000E-05,-2.530000000E-05, 2.498636644E-04
       123, 1.820000000E-05,-2.530000000E-05, 2.501936043E-04
       124, 1.840000000E-05,-2.530000000E-05, 2.505233277E-04
       125, 1.860000000E-05,-2.530000000E-05, 2.508488502E-04
       126, 1.880000000E-05,-2.530000000E-05, 2.511679698E-04
       127, 1.900000000E-05,-2.530000000E-05, 2.514808033E-04
       128, 1.920000000E-05,-2.530000000E-05, 2.517884418E-04
       129, 1.940000000E-05,-2.530000000E-05, 2.520910544E-04
       130, 1.960000000E-05,-2.530000000E-05, 2.523873480E-04
       131, 1.980000000E-05,-2.530000000E-05, 2.526767240E-04
       132, 2.000000000E-05,-2.530000000E-05, 2.529597824E-04
       133, 2.020000000E-05,-2.530000000E-05, 2.532371714E-04
       134, 2.040000000E-05,-2.530000000E-05, 2.535095826E-04
       135, 2.060000000E-05,-2.530000000E-05, 2.537766789E-04
       136, 2.080000000E-05,-2.530000000E-05, 2.540385188E-04
       137, 2.100000000E-05,-2.530000000E-05, 2.542952679E-04
       138, 2.120000000E-05,-2.530000000E-05, 2.545466309E-04
       139, 2.140000000E-05,-2.530000000E-05, 2.547932354E-04
       140, 2.160000000E-05,-2.530000000E-05, 2.550353541E-04
       141, 2.180000000E-05,-2.530000000E-05, 2.552734848E-04
       142, 2.200000000E-05,-2.530000000E-05, 2.555072930E-04
       143, 2.220000000E-05,-2.530000000E-05, 2.557355894E-04
       144, 2.240000000E-05,-2.530000000E-05, 2.559589796E-04
       145, 2.260000000E-05,-2.530000000E-05, 2.561784408E-04
       146, 2.280000000E-05,-2.530000000E-05, 2.563950588E-04
       147, 2.300000000E-05,-2.530000000E-05, 2.566082387E-04
       148, 2.320000000E-05,-2.530000000E-05, 2.568161326E-04
       149, 2.340000000E-05,-2.530000000E-05, 2.570193172E-04
       150, 2.360000000E-05,-2.530000000E-05, 2.572193117E-04
       151, 2.380000000E-05,-2.530000000E-05, 2.574176760E-04
       152, 2.400000000E-05,-2.530000000E-05, 2.576136812E-04
       153, 2.420000000E-05,-2.530000000E-05, 2.578050039E-04
       154, 2.440000000E-05,-2.530000000E-05, 2.579919822E-04
       155, 2.460000000E-05,-2.530000000E-05, 2.581761223E-04
       156, 2.480000000E-05,-2.530000000E-05, 2.583592378E-04
       157, 2.500000000E-05,-2.530000000E-05, 2.585404703E-04
       158, 2.520000000E-05,-2.530000000E-05, 2.587175581E-04
       159, 2.540000000E-05,-2.530000000E-05, 2.588908008E-04
       160, 2.560000000E-05,-2.530000000E-05, 2.590615210E-04
       161, 2.580000000E-05,-2.530000000E-05, 2.592316067E-04
       162, 2.600000000E-05,-2.530000000E-05, 2.594004931E-04
       163, 2.620000000E-05,-2.530000000E-05, 2.595659489E-04
       164, 2.640000000E-05,-2.530000000E-05, 2.597282002E-04
       165, 2.660000000E-05,-2.530000000E-05, 2.598888095E-04
       166, 2.680000000E-05,-2.530000000E-05, 2.600497495E-04
       167, 2.700000000E-05,-2.530000000E-05, 2.602108595E-04
       168, 2.720000000E-05,-2.530000000E-05, 2.603701639E-04
       169, 2.740000000E-05,-2.530000000E-05, 2.605279490E-04
       170, 2.760000000E-05,-2.530000000E-05, 2.606857401E-04
       171, 2.780000000E-05,-2.530000000E-05, 2.608454536E-04
       172, 2.800000000E-05,-2.530000000E-05, 2.610069141E-04
       173, 2.820000000E-05,-2.530000000E-05, 2.611681627E-04
       174, 2.840000000E-05,-2.530000000E-05, 2.613293889E-04
       175, 2.860000000E-05,-2.530000000E-05, 2.614920093E-04
       176, 2.880000000E-05,-2.530000000E-05, 2.616577746E-04
       177, 2.900000000E-05,-2.530000000E-05, 2.618263160E-04
       178, 2.920000000E-05,-2.530000000E-05, 2.619955243E-04
       179, 2.940000000E-05,-2.530000000E-05, 2.621653807E-04
       180, 2.960000000E-05,-2.530000000E-05, 2.623371465E-04
       181, 2.980000000E-05,-2.530000000E-05, 2.625124062E-04
       182, 3.000000000E-05,-2.530000000E-05, 2.626907653E-04
       183, 3.020000000E-05,-2.530000000E-05, 2.628703865E-04
       184, 3.040000000E-05,-2.530000000E-05, 2.630516685E-04
       185, 3.060000000E-05,-2.530000000E-05, 2.632365402E-04
       186, 3.080000000E-05,-2.530000000E-05, 2.634272385E-04
       187, 3.100000000E-05,-2.530000000E-05, 2.636239786E-04
       188, 3.120000000E-05,-2.530000000E-05, 2.638257366E-04
       189, 3.140000000E-05,-2.530000000E-05, 2.640337042E-04
       190, 3.160000000E-05,-2.530000000E-05, 2.642504403E-04
       191, 3.180000000E-05,-2.530000000E-05, 2.644781612E-04
       192, 3.200000000E-05,-2.530000000E-05, 2.647161412E-04
       193, 3.220000000E-05,-2.530000000E-05, 2.649616569E-04
       194, 3.240000000E-05,-2.530000000E-05, 2.652130099E-04
       195, 3.260000000E-05,-2.530000000E-05, 2.654692018E-04
       196, 3.280000000E-05,-2.530000000E-05, 2.657289300E-04
       197, 3.300000000E-05,-2.530000000E-05, 2.659899526E-04
       198, 3.320000000E-05,-2.530000000E-05, 2.662471933E-04
       199, 3.340000000E-05,-2.530000000E-05, 2.664943805E-04
       200, 3.360000000E-05,-2.530000000E-05, 2.667269974E-04
       201, 3.380000000E-05,-2.530000000E-05, 2.669438171E-04
       202, 3.400000000E-05,-2.530000000E-05, 2.671480096E-04
       203, 3.420000000E-05,-2.530000000E-05, 2.673439626E-04
       204, 3.440000000E-05,-2.530000000E-05, 2.675350288E-04
       205, 3.460000000E-05,-2.530000000E-05, 2.677227736E-04
       206, 3.480000000E-05,-2.530000000E-05, 2.679048128E-04
       207, 3.500000000E-05,-2.530000000E-05, 2.680713681E-04
       208, 3.520000000E-05,-2.530000000E-05, 2.682242292E-04
       209, 3.540000000E-05,-2.530000000E-05, 2.682928385E-04
       210, 3.560000000E-05,-2.530000000E-05, 2.684937570E-04
       211, 3.580000000E-05,-2.530074987E-05, 2.683220446E-04
       212, 3.600000000E-05,-2.530149974E-05, 2.679419877E-04
       213, 1.500000000E-05,-2.510000000E-05, 2.473820110E-04
       214, 1.520000000E-05,-2.510000000E-05, 2.469442448E-04
       215, 1.540000000E-05,-2.510000000E-05, 2.467395947E-04
       216, 1.560000000E-05,-2.510000000E-05, 2.469523530E-04
       217, 1.580000000E-05,-2.510000000E-05, 2.470209573E-04
       218, 1.600000000E-05,-2.510000000E-05, 2.471990758E-04
       219, 1.620000000E-05,-2.510000000E-05, 2.473958050E-04
       220, 1.640000000E-05,-2.510000000E-05, 2.476225189E-04
       221, 1.660000000E-05,-2.510000000E-05, 2.478694704E-04
       222, 1.680000000E-05,-2.510000000E-05, 2.481324750E-04
       223, 1.700000000E-05,-2.510000000E-05, 2.484103745E-04
       224, 1.720000000E-05,-2.510000000E-05, 2.487027663E-04
       225, 1.740000000E-05,-2.510000000E-05, 2.490071965E-04
       226, 1.760000000E-05,-2.510000000E-05, 2.493193348E-04
       227, 1.780000000E-05,-2.510000000E-05, 2.496356440E-04
       228, 1.800000000E-05,-2.510000000E-05, 2.499550525E-04
       229, 1.820000000E-05,-2.510000000E-05, 2.502767942E-04
       230, 1.840000000E-05,-2.510000000E-05, 2.505984133E-04
       231, 1.860000000E-05,-2.510000000E-05, 2.509167821E-04
       232, 1.880000000E-05,-2.510000000E-05, 2.512297124E-04
       233, 1.900000000E-05,-2.510000000E-05, 2.515371330E-04
       234, 1.920000000E-05,-2.510000000E-05, 2.518394486E-04
       235, 1.940000000E-05,-2.510000000E-05, 2.521364134E-04
       236, 1.960000000E-05,-2.510000000E-05, 2.524275151E-04
       237, 1.980000000E-05,-2.510000000E-05, 2.527123126E-04
       238, 2.000000000E-05,-2.510000000E-05, 2.529912066E-04
       239, 2.020000000E-05,-2.510000000E-05, 2.532644392E-04
       240, 2.040000000E-05,-2.510000000E-05, 2.535323967E-04
       241, 2.060000000E-05,-2.510000000E-05, 2.537956927E-04
       242, 2.080000000E-05,-2.510000000E-05, 2.540544407E-04
       243, 2.100000000E-05,-2.510000000E-05, 2.543084596E-04
       244, 2.120000000E-05,-2.510000000E-05, 2.545570550E-04
       245, 2.140000000E-05,-2.510000000E-05, 2.548005531E-04
       246, 2.160000000E-05,-2.510000000E-05, 2.550403000E-04
       247, 2.180000000E-05,-2.510000000E-05, 2.552767373E-04
       248, 2.200000000E-05,-2.510000000E-05, 2.555090765E-04
       249, 2.220000000E-05,-2.510000000E-05, 2.557357746E-04
       250, 2.240000000E-05,-2.510000000E-05, 2.559571752E-04
       251, 2.260000000E-05,-2.510000000E-05, 2.561754061E-04
       252, 2.280000000E-05,-2.510000000E-05, 2.563913911E-04
       253, 2.300000000E-05,-2.510000000E-05, 2.566039780E-04
       254, 2.320000000E-05,-2.510000000E-05, 2.568109999E-04
       255, 2.340000000E-05,-2.510000000E-05, 2.570128297E-04
       256, 2.360000000E-05,-2.510000000E-05, 2.572121978E-04
       257, 2.380000000E-05,-2.510000000E-05, 2.574104183E-04
       258, 2.400000000E-05,-2.510000000E-05, 2.576060858E-04
       259, 2.420000000E-05,-2.510000000E-05, 2.577965204E-04
       260, 2.440000000E-05,-2.510000000E-05, 2.579819165E-04
       261, 2.460000000E-05,-2.510000000E-05, 2.581652414E-04
       262, 2.480000000E-05,-2.510000000E-05, 2.583481946E-04
       263, 2.500000000E-05,-2.510000000E-05, 2.585292779E-04
       264, 2.520000000E-05,-2.510000000E-05, 2.587057001E-04
       265, 2.540000000E-05,-2.510000000E-05, 2.588775388E-04
       266, 2.560000000E-05,-2.510000000E-05, 2.590475326E-04
       267, 2.580000000E-05,-2.510000000E-05, 2.592174336E-04
       268, 2.600000000E-05,-2.510000000E-05, 2.593860443E-04
       269, 2.620000000E-05,-2.510000000E-05, 2.595507439E-04
       270, 2.640000000E-05,-2.510000000E-05, 2.597117495E-04
       271, 2.660000000E-05,-2.510000000E-05, 2.598720174E-04
       272, 2.680000000E-05,-2.510000000E-05, 2.600333091E-04
       273, 2.700000000E-05,-2.510000000E-05, 2.601946529E-04
       274, 2.720000000E-05,-2.510000000E-05, 2.603536530E-04
       275, 2.740000000E-05,-2.510000000E-05, 2.605105637E-04
       276, 2.760000000E-05,-2.510000000E-05, 2.606682839E-04
       277, 2.780000000E-05,-2.510000000E-05, 2.608285251E-04
       278, 2.800000000E-05,-2.510000000E-05, 2.609903058E-04
       279, 2.820000000E-05,-2.510000000E-05, 2.611512563E-04
       280, 2.840000000E-05,-2.510000000E-05, 2.613115658E-04
       281, 2.860000000E-05,-2.510000000E-05, 2.614739551E-04
       282, 2.880000000E-05,-2.510000000E-05, 2.616399416E-04
       283, 2.900000000E-05,-2.510000000E-05, 2.618083774E-04
       284, 2.920000000E-05,-2.510000000E-05, 2.619768064E-04
       285, 2.940000000E-05,-2.510000000E-05, 2.621453030E-04
       286, 2.960000000E-05,-2.510000000E-05, 2.623164224E-04
       287, 2.980000000E-05,-2.510000000E-05, 2.624915836E-04
       288, 3.000000000E-05,-2.510000000E-05, 2.626697234E-04
       289, 3.020000000E-05,-2.510000000E-05, 2.628487667E-04
       290, 3.040000000E-05,-2.510000000E-05, 2.630293158E-04
       291, 3.060000000E-05,-2.510000000E-05, 2.632145026E-04
       292, 3.080000000E-05,-2.510000000E-05, 2.634063366E-04
       293, 3.100000000E-05,-2.510000000E-05, 2.636042851E-04
       294, 3.120000000E-05,-2.510000000E-05, 2.638069302E-04
       295, 3.140000000E-05,-2.510000000E-05, 2.640153772E-04
       296, 3.160000000E-05,-2.510000000E-05, 2.642327245E-04
       297, 3.180000000E-05,-2.510000000E-05, 2.644603704E-04
       298, 3.200000000E-05,-2.510000000E-05, 2.646965051E-04
       299, 3.220000000E-05,-2.510000000E-05, 2.649379263E-04
       300, 3.240000000E-05,-2.510000000E-05, 2.651828330E-04
       301, 3.260000000E-05,-2.510000000E-05, 2.654306444E-04
       302, 3.280000000E-05,-2.510000000E-05, 2.656797455E-04
       303, 3.300000000E-05,-2.510000000E-05, 2.659270999E-04
       304, 3.320000000E-05,-2.510000000E-05, 2.661683866E-04
       305, 3.340000000E-05,-2.510000000E-05, 2.663995425E-04
       306, 3.360000000E-05,-2.510000000E-05, 2.666181923E-04
       307, 3.380000000E-05,-2.510000000E-05, 2.668241651E-04
       308, 3.400000000E-05,-2.510000000E-05, 2.670205494E-04
       309, 3.420000000E-05,-2.510000000E-05, 2.672112444E-04
       310, 3.440000000E-05,-2.510000000E-05, 2.673986884E-04
       311, 3.460000000E-05,-2.510000000E-05, 2.675832192E-04
       312, 3.480000000E-05,-2.510000000E-05, 2.677615761E-04
       313, 3.500000000E-05,-2.510000000E-05, 2.679243889E-04
       314, 3.520000000E-05,-2.510023433E-05, 2.680780168E-04
       315, 3.540000000E-05,-2.510046867E-05, 2.681400935E-04
       316, 3.560000000E-05,-2.510093734E-05, 2.683259184E-04
       317, 3.580000000E-05,-2.510187467E-05, 2.681530093E-04
       318, 3.600000000E-05,-2.510299947E-05, 2.677784410E-04
       319, 1.500000000E-05,-2.490000000E-05, 2.471396223E-04
       320, 1.520000000E-05,-2.490000000E-05, 2.467258753E-04
       321, 1.540000000E-05,-2.490000000E-05, 2.465376607E-04
       322, 1.560000000E-05,-2.490000000E-05, 2.467507372E-04
       323, 1.580000000E-05,-2.490000000E-05, 2.468303780E-04
       324, 1.600000000E-05,-2.490000000E-05, 2.470120434E-04
       325, 1.620000000E-05,-2.490000000E-05, 2.472078268E-04
       326, 1.640000000E-05,-2.490000000E-05, 2.474307750E-04
       327, 1.660000000E-05,-2.490000000E-05, 2.476725679E-04
       328, 1.680000000E-05,-2.490000000E-05, 2.479301738E-04
       329, 1.700000000E-05,-2.490000000E-05, 2.482032818E-04
       330, 1.720000000E-05,-2.490000000E-05, 2.484918271E-04
       331, 1.740000000E-05,-2.490000000E-05, 2.487931353E-04
       332, 1.760000000E-05,-2.490000000E-05, 2.491026403E-04
       333, 1.780000000E-05,-2.490000000E-05, 2.494167458E-04
       334, 1.800000000E-05,-2.490000000E-05, 2.497341551E-04
       335, 1.820000000E-05,-2.490000000E-05, 2.500537020E-04
       336, 1.840000000E-05,-2.490000000E-05, 2.503732652E-04
       337, 1.860000000E-05,-2.490000000E-05, 2.506904320E-04
       338, 1.880000000E-05,-2.490000000E-05, 2.510033976E-04
       339, 1.900000000E-05,-2.490000000E-05, 2.513120845E-04
       340, 1.920000000E-05,-2.490000000E-05, 2.516164588E-04
       341, 1.940000000E-05,-2.490000000E-05, 2.519157224E-04
       342, 1.960000000E-05,-2.490000000E-05, 2.522093430E-04
       343, 1.980000000E-05,-2.490000000E-05, 2.524973529E-04
       344, 2.000000000E-05,-2.490000000E-05, 2.527802991E-04
       345, 2.020000000E-05,-2.490000000E-05, 2.530581444E-04
       346, 2.040000000E-05,-2.490000000E-05, 2.533308120E-04
       347, 2.060000000E-05,-2.490000000E-05, 2.535990987E-04
       348, 2.080000000E-05,-2.490000000E-05, 2.538636495E-04
       349, 2.100000000E-05,-2.490000000E-05, 2.541241900E-04
       350, 2.120000000E-05,-2.490000000E-05, 2.543796467E-04
       351, 2.140000000E-05,-2.490000000E-05, 2.546299220E-04
       352, 2.160000000E-05,-2.490000000E-05, 2.548766758E-04
       353, 2.180000000E-05,-2.490000000E-05, 2.551209372E-04
       354, 2.200000000E-05,-2.490000000E-05, 2.553616644E-04
       355, 2.220000000E-05,-2.490000000E-05, 2.555968458E-04
       356, 2.240000000E-05,-2.490000000E-05, 2.558264534E-04
       357, 2.260000000E-05,-2.490000000E-05, 2.560530613E-04
       358, 2.280000000E-05,-2.490000000E-05, 2.562782242E-04
       359, 2.300000000E-05,-2.490000000E-05, 2.565004042E-04
       360, 2.320000000E-05,-2.490000000E-05, 2.567168825E-04
       361, 2.340000000E-05,-2.490000000E-05, 2.569276943E-04
       362, 2.360000000E-05,-2.490000000E-05, 2.571361220E-04
       363, 2.380000000E-05,-2.490000000E-05, 2.573441424E-04
       364, 2.400000000E-05,-2.490000000E-05, 2.575498357E-04
       365, 2.420000000E-05,-2.490000000E-05, 2.577498155E-04
       366, 2.440000000E-05,-2.490000000E-05, 2.579438587E-04
       367, 2.460000000E-05,-2.490000000E-05, 2.581353357E-04
       368, 2.480000000E-05,-2.490000000E-05, 2.583263709E-04
       369, 2.500000000E-05,-2.490000000E-05, 2.585154253E-04
       370, 2.520000000E-05,-2.490000000E-05, 2.586994248E-04
       371, 2.540000000E-05,-2.490000000E-05, 2.588784696E-04
       372, 2.560000000E-05,-2.490000000E-05, 2.590564219E-04
       373, 2.580000000E-05,-2.490000000E-05, 2.592354606E-04
       374, 2.600000000E-05,-2.490000000E-05, 2.594136192E-04
       375, 2.620000000E-05,-2.490000000E-05, 2.595875175E-04
       376, 2.640000000E-05,-2.490000000E-05, 2.597570322E-04
       377, 2.660000000E-05,-2.490000000E-05, 2.599258307E-04
       378, 2.680000000E-05,-2.490000000E-05, 2.600963482E-04
       379, 2.700000000E-05,-2.490000000E-05, 2.602670161E-04
       380, 2.720000000E-05,-2.490000000E-05, 2.604348089E-04
       381, 2.740000000E-05,-2.490000000E-05, 2.605997882E-04
       382, 2.760000000E-05,-2.490000000E-05, 2.607655710E-04
       383, 2.780000000E-05,-2.490000000E-05, 2.609344968E-04
       384, 2.800000000E-05,-2.490000000E-05, 2.611049436E-04
       385, 2.820000000E-05,-2.490000000E-05, 2.612739221E-04
